Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A26-5,Heuchera sanguinea,,AZ,,8.78,7.78,8.28,1018.44,60.38647343,Vacuum centrifuge then add 25 uL,F,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-6,Heuchera sanguinea,,AZ,,5.8,4.93,5.365,659.895,93.19664492,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-7,Heuchera sanguinea,,AZ,,7.82,7.67,7.745,952.635,64.55777921,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-8,Heuchera sanguinea,,AZ,,8.59,8.26,8.425,1036.275,59.34718101,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-9,Heuchera sanguinea,,AZ,,11.7,11.6,11.65,1432.95,42.91845494,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,°,,"32°38'9.55"" N","109°49'24.72"" W"
A3-1,Heuchera americana var. americana,,AL,,16.8,17.2,17,2091,29.41176471,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A3-2,Heuchera americana var. americana,,AL,Yes,3.3,3.49,3.395,417.585,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A3-2,Heuchera americana var. americana,,AL,,15.4,15.1,15.25,1875.75,32.78688525,Vacuum centrifuge then add 25 uL,,duplicate,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A3-3,Heuchera americana var. americana,,AL,Yes,11.3,11.9,11.6,1426.8,43.10344828,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A3-3,Heuchera americana var. americana,,AL,,10.7,10.5,10.6,1303.8,47.16981132,Vacuum centrifuge then add 25 uL,,duplicate,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A3-4,Heuchera americana var. americana,,AL,Yes,,,,,,,,,,,,,,,,,,32.9541667,-86.447222,,,"32°57'15"" N","86°26'50"" W"
A4-1,Heuchera americana var. americana,,GA,,24.7,24.4,24.55,3019.65,20.36659878,4.633401222,x,,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A4-2,Heuchera americana var. americana,,GA,Yes,89.7,94,91.85,11297.55,5.443658138,19.55634186,D,,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A4-2,Heuchera americana var. americana,,GA,,10.5,10.5,10.5,1291.5,47.61904762,Vacuum centrifuge then add 25 uL,,duplicate,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A4-3,Heuchera americana var. americana,,GA,,11.9,11.7,11.8,1451.4,42.37288136,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A4-4,Heuchera americana var. americana,,GA,,6.57,6.39,6.48,797.04,77.16049383,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A4-5,Heuchera americana var. americana,,GA,,12.2,12,12.1,1488.3,41.32231405,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.7288889,-84.082778,,,"34°43'44"" N","84°4'58"" W"
A5-1,Heuchera villosa var. villosa,,GA,,17.3,17.1,17.2,2115.6,29.06976744,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-2,Heuchera villosa var. villosa,,GA,Yes,35.6,37.7,36.65,4507.95,13.6425648,11.3574352,D,,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-2,Heuchera villosa var. villosa,,GA,,20.8,20.6,20.7,2546.1,24.15458937,0.845410628,,duplicate,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-3,Heuchera villosa var. villosa,,GA,Yes,118,124,121,14883,4.132231405,20.8677686,D,,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-3,Heuchera villosa var. villosa,,GA,,32.4,31.9,32.15,3954.45,15.55209953,9.447900467,,duplicate,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-4,Heuchera villosa var. villosa,,GA,,17.6,18.1,17.85,2195.55,28.01120448,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A5-5,Heuchera villosa var. villosa,,GA,,3.08,3.04,3.06,376.38,Use whole sample,Vacuum centrifuge then add 25 uL,x,,Entire sample used for library,,,,,,,,,34.6772222,-84,,,"34°40'38"" N","84°0'0"" W"
A6-1,Heuchera americana var. americana,,GA,,15.1,15.6,15.35,1888.05,32.5732899,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.6194444,-83.792222,,,"34°37'10"" N","83°47'32"" W"
A6-2,Heuchera americana var. americana,,GA,,6.77,6.7,6.735,828.405,74.23904974,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,34.6194444,-83.792222,,,"34°37'10"" N","83°47'32"" W"
A6-3,Heuchera americana var. americana,,GA,,6.77,8.28,7.525,925.575,66.44518272,Vacuum centrifuge then add 25 uL,,1/31/2020,,1.63,1.56,,,,,,,34.6194444,-83.792222,,,"34°37'10"" N","83°47'32"" W"
A6-3,Heuchera americana var. americana,,GA,Yes,too low,too low,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,,,,,,,,,,34.6194444,-83.792222,,,"34°37'10"" N","83°47'32"" W"
A6-4,Heuchera americana var. americana,,GA,,NA ,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,,,,,,,,,,34.6194444,-83.792222,,,"34°37'10"" N","83°47'32"" W"
A7-1,Heuchera americana var. americana,,SC,,26.9,26.7,26.8,3296.4,18.65671642,6.343283582,,1/31/2020,,,,,,,,,,34.0972222,-82.351389,,,"34°5'50"" N","82°21'5"" W"
A7-2,Heuchera americana var. americana,,SC,,22.5,22,22.25,2736.75,22.47191011,2.528089888,x,,,,,,,,,,,34.0972222,-82.351389,,,"34°5'50"" N","82°21'5"" W"
A7-3,Heuchera americana var. americana,,SC,,17.2,17,17.1,2103.3,29.23976608,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,34.0972222,-82.351389,,,"34°5'50"" N","82°21'5"" W"
A7-4,Heuchera americana var. americana,,SC,,21.2,20.9,21.05,2589.15,23.75296912,1.247030879,x,,,,,,,,,,,34.0972222,-82.351389,,,"34°5'50"" N","82°21'5"" W"
A7-4,Heuchera americana var. americana,,SC,,55.2,52.7,53.95,6635.85,9.267840593,15.73215941,x,,,,,,,,,,,34.0972222,-82.351389,,,"34°5'50"" N","82°21'5"" W"
A8,Heuchera americana var. americana,,GA,,50.3,49.4,49.85,6131.55,10.03009027,14.96990973,,1/31/2020,,,,,,,,,,33.2555556,-83.6825,,,"33°15'20"" N","83°40'57"" W"
A9-1,Heuchera americana var. hirsuticaulis,,IN,,17.6,18.4,18,2214,27.77777778,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-2,Heuchera americana var. hirsuticaulis,,IN,,12.2,12.8,12.5,1537.5,40,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-3,Heuchera americana var. hirsuticaulis,,IN,,6.25,6.27,6.26,769.98,79.87220447,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-4,Heuchera americana var. hirsuticaulis,,IN,,4,4.08,4.04,496.92,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-5,Heuchera americana var. hirsuticaulis,,IN,,75.1,70.7,72.9,8966.7,6.858710562,18.14128944,B,,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-6,Heuchera americana var. hirsuticaulis,,IN,,2.6,3.06,2.83,348.09,Use whole sample,Vacuum centrifuge then add 25 uL,A,,,4.29,4.17,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
A9-7,Heuchera americana var. hirsuticaulis,,IN,,16.1,16.6,16.35,2011.05,30.58103976,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,40.3380556,-87.316389,,,"40°20'17"" N","87°18'59"" W"
H102:3,Heuchera americana var. americana,,VA,,3.04,2.98,3.01,370.23,Use whole sample,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,37.8975,-78.946389,,,"37°53'51""","-79°03'13"""
H105,Heuchera richardsonii,,SD,,69.8,72.4,71.1,8745.3,7.032348805,17.9676512,x,,Change label to H105:C please!!!,,,Folk,105,"Parking lot near Sylvan Lake, SD",,,,43.8438361,-102.43763,,,"43°50'37.81""","-103°33'44.54"""
H105:1,Heuchera richardsonii,,SD,,27.1,26.6,26.85,3302.55,18.62197393,6.378026071,x,,,,,Folk,105,"Parking lot near Sylvan Lake, SD",,,,43.8438361,-102.43763,,,"43°50'37.81""","-103°33'44.54"""
H106:1,Heuchera richardsonii,,SD,,47.3,46.9,47.1,5793.3,10.61571125,14.38428875,x,,,,,,,,,,,44.4666667,-102.0525,,,"44°28'00""","-103°56'51"""
H106:2,Heuchera richardsonii,,SD,,55.1,54,54.55,6709.65,9.165902841,15.83409716,x,,,,,,,,,,,44.4666667,-102.0525,,,"44°28'00""","-103°56'51"""
H107:1,Heuchera parvifolia,,WY,Yes,56.5,55.4,55.95,6881.85,8.936550492,16.06344951,C,,,,,,,,,,,44.3305556,-105.18611,,,"44°19'50""","-106°48'50"""
H107:2,Heuchera parvifolia,,WY,Yes,51.5,50.1,50.8,6248.4,9.842519685,15.15748031,D,,,,,,,,,,,44.3305556,-105.18611,,,"44°19'50""","-106°48'50"""
H108:1,Heuchera saxicola,,MT,,7.12,6.67,6.895,848.085,72.51631617,Vacuum centrifuge then add 25 uL,B,,Dropped while open,5.73,5.37,Folk,108,"Hellroaring Trail, Spanish Creek Basin, MT, USA",,,,45.4369444,-111.23361,,,"45°26'13"" N","111°14'01"" W"
H108:2,Heuchera saxicola,,MT,Yes,62.3,61.1,61.7,7589.1,8.103727715,16.89627229,C,,,,,Folk,108,"Hellroaring Trail, Spanish Creek Basin, MT, USA",,,,45.4369444,-111.23361,,,"45°26'13"" N","111°14'01"" W"
H110:1,Heuchera saxicola,,MT,Yes,39.4,40.8,40.1,4932.3,12.46882793,12.53117207,D,,,,,,,,,,,45.1133333,-112.77111,,,"45°06'48""","-113°13'44"""
H110:2,Heuchera saxicola,,MT,Yes,31.6,32.7,32.15,3954.45,15.55209953,9.447900467,D,,,,,,,,,,,45.1133333,-112.77111,°,,"45°06'48""","-113°13'44"""
H111:1,Heuchera saxicola,,MT,Yes,31.7,32.6,32.15,3954.45,15.55209953,9.447900467,D,,,,,,,,,,,46.2519444,-111.65833,,,"46°15'07""","-112°20'30"""
H111:2,Heuchera saxicola,,MT,,20.1,19.7,19.9,2447.7,25.12562814,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,46.2519444,-111.65833,,,"46°15'07""","-112°20'30"""
H112:1,Heuchera saxicola,,MT,Yes,60.6,60.4,60.5,7441.5,8.26446281,16.73553719,C,,,,,,,,,,,46.2541667,-111.81333,,,"46°15'15""","-112°11'12"""
H112:2,Heuchera saxicola,,MT,Yes,31.6,31.9,31.75,3905.25,15.7480315,9.251968504,D,,,,,,,,,,,46.2541667,-111.81333,,,"46°15'15""","-112°11'12"""
H113:1,Heuchera cylindrica var. glabella,,MT,Yes,25.3,25.9,25.6,3148.8,19.53125,5.46875,D,,,,,,,,,,,46.5875,-111.95056,,,"46°35'15""","-112°02'58"""
H113:2,Heuchera cylindrica var. glabella,,MT,Yes,9.85,10.1,9.975,1226.925,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,46.5875,-111.95056,,,"46°35'15""","-112°02'58"""
H114:2,Heuchera cylindrica var. glabella,,MT,,1.88,2.44,2.16,265.68,Use whole sample,Vacuum centrifuge then add 25 uL,B,,Dropped while open,3.19,3.2,,,,,,,46.9313889,-111.87833,,,"46°55'53""","-112°07'18"""
H115:2,Heuchera cylindrica var. glabella,,MT,Yes,2.29,2.56,2.425,298.275,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,11.1,10.9,Folk,115,"Sun Canyon, MT",,,,47.61,-111.26139,,,"47°36'36""","-112°44'19"""
H116:1,Heuchera cylindrica var. glabella,,MT,Yes,32.4,34.2,33.3,4095.9,15.01501502,9.984984985,D,,,,,,,,,,,47.603197,-112.760776,,,,
H116:2,Heuchera cylindrica var. glabella,,MT,Yes,32.7,33.4,33.05,4065.15,15.12859304,9.871406959,D,,,,,,,,,,,47.603197,-112.760776,,,,
H118:1,Heuchera cylindrica var. glabella,,MT,Yes,7.41,7.66,7.535,926.805,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,2.93,3.11,,,,,,,48.49193,-113.341832,,,,
H118:2,Heuchera cylindrica var. glabella,,MT,,4.21,4.01,4.11,505.53,121.6545012,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,48.49193,-113.341832,,,,
H121:1,Heuchera cylindrica var. glabella,,MT,Yes,13.3,14.4,13.85,1703.55,36.10108303,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,47.3161111,-113.19361,,,"47°18'58""","-114°48'23"""
H121:2,Heuchera cylindrica var. glabella,,MT,Yes,13.1,13.2,13.15,1617.45,38.02281369,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,47.3161111,-113.19361,,,"47°18'58""","-114°48'23"""
H122:2,Heuchera cylindrica var. cylindrica,,WA,,14.7,14.6,14.65,1801.95,34.12969283,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,Folk,122,"Sherman Pass, WA",,,,48.6072222,-117.52222,,,"48°36'26""","-118°28'40"""
H123:2,Heuchera cylindrica var. cylindrica,,WA,Yes,13.2,13.7,13.45,1654.35,37.17472119,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,48.6255556,-117.32556,,,"48°37'32""","-118°40'28"""
H124:1,Heuchera cylindrica var. glabella,,WA,Yes,10.1,10.4,10.25,1260.75,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,47.2955556,-119.3,,,"47°17'44""","-120°42'00"""
H124:2,Heuchera cylindrica var. glabella,,WA,Yes,14.7,15.3,15,1845,33.33333333,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,47.2955556,-119.3,,,"47°17'44""","-120°42'00"""
H125:2,Heuchera cylindrica var. glabella,,WA,Yes,28.2,29.1,28.65,3523.95,17.45200698,7.547993019,D,,,,,Folk,125,"Standup Creek, WA",,,,47.3688889,-119.16139,,,"47°22'08""","-120°50'19"""
H126,Mitella cf. trifida,,WA,Yes,52.2,51.9,52.05,6402.15,9.606147935,15.39385207,C,,Fell in vaccume centrefuge,,,,,,,,,47.3688889,-119.16139,,,,
H129:1,Heuchera micrantha var. diversifolia f. acuta,,WA,Yes,10.3,9.59,9.945,1223.235,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,,,,,,,48.8166667,-121.795,,,"48°49'00""","-122°12'18"""
H129:2,Heuchera micrantha var. diversifolia f. acuta,,WA,Yes,13.8,13.2,13.5,1660.5,37.03703704,Vacuum centrifuge then add 25 uL,C,,,,,,,,,,,48.8166667,-121.795,,,"48°49'00""","-122°12'18"""
H130:2,Tellima grandiflora,,WA,Yes,8.82,9.26,9.04,1111.92,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,130,"Glacier Creek road, Mount Baker, WA, USA",,,,48.8630556,-120.09694,,,"48°51'47""","-121°54'11"""
H131:1,Tolmiea menziesii,,WA,Yes,6.85,6.99,6.92,851.16,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,131,"Glacier Creek road, Mount Baker, WA, USA",,,,48.8619444,-120.09639,,,"48°51'43""","-121°54'13"""
H131:2,Tolmiea menziesii,,WA,Yes,30.7,37.5,34.1,4194.3,14.6627566,10.3372434,C,,Fell in vaccume centrefuge,10.1,9.67,Folk,131,"Glacier Creek road, Mount Baker, WA, USA",,,,48.8619444,-120.09639,,,"48°51'43""","-121°54'13"""
H134:2,Heuchera micrantha var. diversifolia,,WA,,21.3,20,20.65,2539.95,24.21307506,0.7869249395,E,,,,,Folk,134,"Dry cliffs along Hwy 542 near Excelsior Camp, WA, USA",,,,48.9093917,-121.79867,,,"48°54'33.81"" N","121°47'55.20"" W"
H136:2,Heuchera micrantha var. micrantha,,OR,Yes,7.46,7.1,7.28,895.44,Use whole sample,Vacuum centrifuge then add 25 uL,C,,Fell in vaccume centrefuge,14.7,14.2,,,,,,,45.5930556,-121.94194,,,"45°35'35""","-122°03'29"""
H137:2,Heuchera glabra,,OR,Yes,6.33,6.74,6.535,803.805,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,137,"Cloud Cap near Mt. Hood, OR",,,,45.4025,-120.34556,,,"45°24'09""","-121°39'16"""
H138-C,Heuchera chlorantha,,OR,,7.3,6.67,6.985,859.155,71.58196135,Vacuum centrifuge then add 25 uL,x,,,,,Folk,138,"Along Hwy 35, OR",,,,45.4244444,-120.42639,,,"45°25'28""","-121°34'25"""
H140:2,Heuchera cylindrica var. alpina,,OR,Yes,3.56,3.5,3.53,434.19,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,140,"Cliffs above Deschutes River, OR",,,,45.5832944,-119.10306,,,"45°34'59.86""","-120°53'48.97"""
H141:2,Heuchera micrantha var. micrantha,,OR,Yes,8.95,8.74,8.845,1087.935,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,141,"Viento State Park, OR, USA",,,,45.6958333,-121.66861,,,"45°41'45"" N","121°40'07"" W"
H143:2,Heuchera micrantha var. pacifica,,OR,Yes,12,12.2,12.1,1488.3,41.32231405,Vacuum centrifuge then add 25 uL,C,,,,,,,,,,,43.0255556,-123.91861,,,"43°01'32""","-124°04'53"""
H145:2,Heuchera micrantha var. hartwegii,,OR,Yes,9.38,9.08,9.23,1135.29,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,Folk,145,"Cliff along Hwy 101 (side of Humbug Mountain), OR, USA",,,,42.6841667,-124.42361,,,"42°41'03"" N","124°25'25"" W"
H146:1,Heuchera micrantha var. macropetala,,OR,Yes,30.6,30.9,30.75,3782.25,16.2601626,8.739837398,C,,,,,Folk,146,"FS 2308 1 mi from Rd 23, Siskiyou Mts., OR, USA",,,,42.6052778,-123.85667,,,"42°36'19"" N","123°51'24"" W"
H146:2,Heuchera micrantha var. macropetala,,OR,Yes,19.8,21.3,20.55,2527.65,24.33090024,0.6690997567,D,,,,,Folk,146,"FS 2308 1 mi from Rd 23, Siskiyou Mts., OR, USA",,,,42.6052778,-123.85667,,,"42°36'19"" N","123°51'24"" W"
H148-C,Bensoniella oregona,,OR,,24.9,23.3,24.1,2964.3,20.74688797,4.253112033,x,,,,,Folk,148,"FS Rd 23, near Bear Camp, Siskiyou Mts, OR",,,,42.6113889,-122.19306,,,"42°36'41""","-123°48'25"""
H149:2,Heuchera micrantha var. erubescens,,OR,Yes,5.06,5.44,5.25,645.75,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,42.6108333,-122.19472,,,"42°36'39""","-123°48'19"""
H150:2,Heuchera merriamii,,CA,Yes,4.67,4.98,4.825,593.475,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,150,"Outcrops above Little Castle Lake, CA, USA",,,,41.2215806,-122.37182,,,"41°13'17.69"" N","122°22'18.56"" W"
H154:2,Heuchera grossulariifolia var. grossulariifolia,,ID,Yes,27.8,28.3,28.05,3450.15,17.82531194,7.174688057,D,,,,,Folk,154,"Cliffs above Shaw Mountain Road near Boise, ID, USA",,,,43.6305556,-116.70806,,,"43°37'50"" N","116°42'29"" W"
H155:2,Heuchera grossulariifolia var. grossulariifolia,,ID,Yes,31.7,32.3,32,3936,15.625,9.375,D,,,,,,,,,,,43.8991667,-114.29194,,,"43°53'57""","-115°42'29"""
H157:2,Heuchera grossulariifolia var. grossulariifolia,,ID,Yes,22.8,24,23.4,2878.2,21.36752137,3.632478632,D,,,,,,,,,,,44.1163889,-114.59194,,,"44°06'59""","-115°24'29"""
H158:2,Heuchera grossulariifolia var. grossulariifolia,,ID,Yes,8.42,8.83,8.625,1060.875,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,44.9588889,-115.79028,,,"44°57'32""","-116°12'35"""
H160:2,Heuchera grossulariifolia var. grossulariifolia,,ID,Yes,TOO LOW,TOO LOW,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,,,,Folk,160,"Cliff above roadside parking lot outside of Riggins, ID, USA",,,,45.4111111,-116.32639,,,"45°24'40"" N","116°19'35"" W"
H162:2,Heuchera rubescens var. rubescens,,ID,Yes,17.9,18.1,18,2214,27.77777778,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,42.0958333,-110.48194,,,"42°05'45""","-111°31'05"""
H164:2,Heuchera bracteata,,WY,Yes,6.25,6.87,6.56,806.88,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,164,"Outcrops along Vedauwoo Glen Rd., WY",,,,41.1538889,-104.62333,,,"41°09'14""","-105°22'36"""
H166:2,Heuchera richardsonii,,IA,,22.4,22,22.2,2730.6,22.52252252,2.477477477,x,,Corrected from H116:2,,,Folk,166,"Roadside near Ledges State Park, IA, USA",,,,41.9966667,-93.883611,,,"41°59'48"" N","93°53'01"" W"
H173:4,Heuchera missouriensis,,IL,,123,129,126,15498,3.968253968,21.03174603,A,1/20/2020,,,,Folk,173,"0.25 from parking area along trail through Round Bluff Nature Preserve, Ferne Clyffe State Park",,,,37.5316833,-88.978983,,,"37°31.901"" N","88°58.739"" W"
H174:4,Heuchera missouriensis,,IL,,119,124,121.5,14944.5,4.115226337,20.88477366,E,,,,,Folk,174,"Boat Rock Picnic Area, on ""Boat Rock,"" Ferne Clyffe State Park",,,,37.5422,-88.98095,,,"37°32.532"" N","88°58.857"" W"
H175:4,Heuchera missouriensis,,IL,Yes,52.3,50.6,51.45,6328.35,9.718172983,15.28182702,D,,,,,Folk,175,"Rockhouse above Stonefort Road, Giant City State Park",,,,37.62245,-89.19665,,,"37°37.347"" N","89°11.799"" W"
H176:4,Heuchera missouriensis,,IL,,103,111,107,13161,4.672897196,20.3271028,A,1/20/2020,,,,Folk,176,"Bluffs directly above parking lot for Fern Rocks Nature Preserve, Giant City State Park",,,,37.625,-89.203433,,,"37°37.500"" N","89°12.206"" W"
H177:2,Heuchera americana var. hirsuticaulis,,IL,,33.2,32.9,33.05,4065.15,15.12859304,9.871406959,x,,,,,,,,,,,37.5415333,-89.426917,,,37°32.492'N,89°25.615'W
H181:2,Heuchera puberula,,MO,Yes,4.1,4.2,4.15,510.45,Use whole sample,Vacuum centrifuge then add 25 uL,C,,,,,,,,,,,36.9507167,-90.992283,,,"36°57.043"" N","90°59.537"" W"
H181:4,Heuchera puberula,,MO,,93.8,99.1,96.45,11863.35,5.184033178,19.81596682,A,1/20/2020,,,,,,,,,,36.9507167,-90.992283,,,"36°57.043"" N","90°59.537"" W"
H182:4,Heuchera puberula f. glabrata,,MO,Yes,55.3,52.4,53.85,6623.55,9.285051068,15.71494893,C,,,,,,,,,,,37.15075,-91.440317,,,"37°09.045"" N","91.26.419"" W"
H183:4,Heuchera puberula f. glabrata,,MO,,38.1,39.4,38.75,4766.25,12.90322581,12.09677419,A,1/20/2020,,,,,,,,,,37.2808,-91.4137,,,37°16.848'N,91°24.822'W
H184:4,Heuchera puberula,,MO,,57.2,57.4,57.3,7047.9,8.72600349,16.27399651,E,,,,,Folk,184,"Greer Spring, bottom of stairs to creek-side",,,,36.77975,-91.345883,,,36°46.785'N,91°20.753'W
H185:4,Heuchera puberula,,MO,,71.2,67.2,69.2,8511.6,7.225433526,17.77456647,A,1/20/2020,,,,Folk,185,Cliffs above source of spring at Turner Mill,,,,36.7660167,-91.267217,,,36°45.961'N,91.16.033'W
H186:4,Heuchera puberula f. glabrata,,MO,,42.7,44.5,43.6,5362.8,11.46788991,13.53211009,E,,,,,Folk,186,Outcrop on side of SR AP just north of Noblett Lake,,,,36.9236167,-92.096333,,,36°55.417'N,92°05.780'W
H187:4,Heuchera puberula f. glabrata,,MO,,63.5,70.1,66.8,8216.4,7.48502994,17.51497006,A,1/20/2020,,,,,,,,,,36.90765,-92.07955,,,36°54.459'N,92°04.773'W
H188:4,Heuchera puberula f. glabrata,,MO,,92.2,94.3,93.25,11469.75,5.361930295,19.63806971,A,1/20/2020,,,,Folk,188,"Cliff along parking lot, Mineral Springs Fishing Access",,,,37.3628833,-91.9693,,,37°21.773'N,91°58.158'W
H189:4,Heuchera puberula,,AR,,38.8,40.4,39.6,4870.8,12.62626263,12.37373737,,2/1/20,2/1/20 has date but no rack #,,,Folk,189,Cliffs beside picnic area at Blanchard Springs Recreation Area,,,,35.9692167,-92.173517,,,35°58.153'N,92°10.411'W
H190:4,Heuchera puberula,,AR,Yes,20.7,20.5,20.6,2533.8,24.27184466,0.7281553398,C,,,,,,,,,,,35.9588333,-92.175433,,,35°57.530'N,92°10.526'W
H191:4,Heuchera puberula,,AR,,46.7,48.6,47.65,5860.95,10.49317943,14.50682057,E,,,,,,,,,,,35.9860833,-92.47925,,,35°59.165'N,92°28.755'W
H192:2,Heuchera villosa var. arkansana,,AR,,57.7,57.9,57.8,7109.4,8.650519031,16.34948097,E,,,,,Folk,192,"Weddington Gap, AR, USA",,,,36.1051167,-94.390267,,,36°06.307' N,94°23.416' W
H192:3,Heuchera villosa var. arkansana,,AR,Yes,9.74,10.5,10.12,1244.76,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,192,"Weddington Gap, AR, USA",,,,36.1051167,-94.390267,,,36°06.307' N,94°23.416' W
H192:4,Heuchera villosa var. arkansana,,AR,Yes,4.6,4.96,4.78,587.94,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,Folk,192,"Weddington Gap, AR, USA",,,,36.1051167,-94.390267,,,36°06.307' N,94°23.416' W
H194:2,Heuchera villosa var. macrorhiza,,KY,,65.9,62.5,64.2,7896.6,7.788161994,17.21183801,B,,,,,,,,,,,37.8562469,-83.677649,,,37°51'22.489'N,83°40'39.535'W
H197:4,Heuchera parviflora var. parviflora,,KY,,148,153,150.5,18511.5,3.322259136,21.67774086,E,,,,,,,,,,,37.7702083,-83.566961,,,37°46'12.750'N,83°34'01.059'W
