Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A13-1,Heuchera americana var. hirsuticaulis,,IL,,18.3,18.1,18.2,2238.6,27.47252747,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-2,Heuchera americana var. hirsuticaulis,,IL,,11.6,11.5,11.55,1420.65,43.29004329,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-3,Heuchera americana var. hirsuticaulis,,IL,,8.76,8.52,8.64,1062.72,57.87037037,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-4,Heuchera americana var. hirsuticaulis,,IL,,19.4,18.6,19,2337,26.31578947,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-5,Heuchera americana var. hirsuticaulis,,IL,,23.4,22.7,23.05,2835.15,21.69197397,3.30802603,B,2/11/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-6,Heuchera americana var. hirsuticaulis,,IL,,80.5,76.5,78.5,9655.5,6.369426752,18.63057325,B,2/11/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-7,Heuchera americana var. hirsuticaulis,,IL,,62.1,61.7,61.9,7613.7,8.077544426,16.92245557,B,2/11/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-8,Heuchera americana var. hirsuticaulis,,IL,,41.1,41.1,41.1,5055.3,12.16545012,12.83454988,B,2/11/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A13-9,Heuchera americana var. hirsuticaulis,,IL,,8.16,8.05,8.105,996.915,61.69031462,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,37.60485,-88.384667,,,37°36.291' N,88°23.080' W
A14,Heuchera americana var. hirsuticaulis,,IL,,8.7,8.31,8.505,1046.115,58.78894768,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,38.9730556,-90.464444,,,"38°58'23"" N","90°27'52"" W"
A15-1,Heuchera richardsonii,,MO,,2.09,2.12,2.105,258.915,Use whole sample,Vacuum centrifuge then add 25 uL,,,Entire sample used for library,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-10,Heuchera richardsonii,,MO,,35.6,33.8,34.7,4268.1,14.4092219,10.5907781,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-11,Heuchera richardsonii,,MO,,57,55.5,56.25,6918.75,8.888888889,16.11111111,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-12,Heuchera richardsonii,,MO,,25.6,24.7,25.15,3093.45,19.88071571,5.119284294,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-13,Heuchera richardsonii,,MO,,38.4,37.1,37.75,4643.25,13.24503311,11.75496689,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-14,Heuchera richardsonii,,MO,,13,12.7,12.85,1580.55,38.91050584,Vacuum centrifuge then add 25 uL,B,,Dropped while open,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-15,Heuchera richardsonii,,MO,,65,63.7,64.35,7915.05,7.77000777,17.22999223,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-2,Heuchera richardsonii,,MO,Yes,1.6,1.76,1.68,206.64,Use whole sample,Vacuum centrifuge then add 25 uL,C,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-3,Heuchera richardsonii,,MO,,25.7,24.9,25.3,3111.9,19.76284585,5.23715415,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-4,Heuchera richardsonii,,MO,,10.1,10.3,10.2,1254.6,49.01960784,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-5,Heuchera richardsonii,,MO,,5.14,5.64,5.39,662.97,92.76437848,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-6,Heuchera richardsonii,,MO,,23.7,23.1,23.4,2878.2,21.36752137,3.632478632,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
A15-7,Heuchera richardsonii,,MO,,40.9,40.2,40.55,4987.65,12.33045623,12.66954377,B,2/11/20,,,,,,,,,,38.1491167,-92.825311,,,"38°8'56.82"" N","92°49'31.12"" W"
